Species,coef,pval,qval
Sphingobacterium.thalpophilum,-2.106740901,4.56E-09,1.28E-05
uncultured.Macellibacteroides.sp.,-2.106740901,4.56E-09,1.28E-05
Salinicola.lusitanus,-2.106740901,4.56E-09,1.28E-05
Pseudonocardia.abyssalis,-2.106740901,4.56E-09,1.28E-05
Paraburkholderia.terrae,-2.106740901,4.56E-09,1.28E-05
Gramella.sp..MAR_2010_147,-2.106740901,4.56E-09,1.28E-05
Parafannyhessea.umbonata,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.epidermidicanis,-2.106740901,4.56E-09,1.28E-05
Parolsenella.massiliensis,-2.106740901,4.56E-09,1.28E-05
Prevotella.scopos,-2.106740901,4.56E-09,1.28E-05
Phototrophicus.methaneseepsis,-2.106740901,4.56E-09,1.28E-05
Rouxiella.badensis,-2.106740901,4.56E-09,1.28E-05
Segatella.copri,-2.106740901,4.56E-09,1.28E-05
Segatella.hominis,-2.106740901,4.56E-09,1.28E-05
Xylanimonas.allomyrinae,-2.106740901,4.56E-09,1.28E-05
Parolsenella.catena,-2.106740901,4.56E-09,1.28E-05
Thermophilibacter.mediterraneus,-2.106740901,4.56E-09,1.28E-05
Klebsiella.michiganensis,-2.106740901,4.56E-09,1.28E-05
Cardiobacterium.hominis,-2.106740901,4.56E-09,1.28E-05
Jannaschia.sp..GRR.S6.38,-2.106740901,4.56E-09,1.28E-05
Runella.slithyformis,-2.106740901,4.56E-09,1.28E-05
Geothrix.oryzae,-2.106740901,4.56E-09,1.28E-05
Chlorobaculum.sp..MV4.Y,-2.106740901,4.56E-09,1.28E-05
Pseudoprevotella.muciniphila,-2.106740901,4.56E-09,1.28E-05
Fluviibacter.phosphoraccumulans,-2.106740901,4.56E-09,1.28E-05
Thermophilibacter.immobilis,-2.106740901,4.56E-09,1.28E-05
Enorma.phocaeensis,-2.106740901,4.56E-09,1.28E-05
Spirillospora.sp..NBC_00431,-2.106740901,4.56E-09,1.28E-05
Pseudoduganella.umbonata,-2.106740901,4.56E-09,1.28E-05
Hydrogenophaga.sp..BPS33,-2.106740901,4.56E-09,1.28E-05
Enterobacter.chengduensis,-2.106740901,4.56E-09,1.28E-05
Thioflavicoccus.mobilis,-2.106740901,4.56E-09,1.28E-05
Parashewanella.spongiae,-2.106740901,4.56E-09,1.28E-05
Hydrogenophilus.thermoluteolus,-2.106740901,4.56E-09,1.28E-05
Haloterrigena.turkmenica,-2.106740901,4.56E-09,1.28E-05
Leucobacter.insecticola,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..NBC_00184,-2.106740901,4.56E-09,1.28E-05
Rhodococcus.erythropolis,-2.106740901,4.56E-09,1.28E-05
Segatella.baroniae,-2.106740901,4.56E-09,1.28E-05
Microbacterium.sp..zg.B96,-2.106740901,4.56E-09,1.28E-05
Bacteroides.fragilis,-2.106740901,4.56E-09,1.28E-05
Mannheimia.haemolytica,-2.106740901,4.56E-09,1.28E-05
Olsenella.uli,-2.106740901,4.56E-09,1.28E-05
Xiashengella.succiniciproducens,-2.106740901,4.56E-09,1.28E-05
Herbaspirillum.sp..meg3,-2.106740901,4.56E-09,1.28E-05
Coprobacter.fastidiosus,-2.106740901,4.56E-09,1.28E-05
Solitalea.canadensis,-2.106740901,4.56E-09,1.28E-05
Cyanobium.usitatum,-2.106740901,4.56E-09,1.28E-05
Thiomicrospira.sp..R3,-2.106740901,4.56E-09,1.28E-05
Duncaniella.dubosii,-2.106740901,4.56E-09,1.28E-05
Pseudodesulfovibrio.nedwellii,-2.106740901,4.56E-09,1.28E-05
Alloacidobacterium.dinghuense,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.benzenivorans,-2.106740901,4.56E-09,1.28E-05
Sphingomonas.hankookensis,-2.106740901,4.56E-09,1.28E-05
Sinorhizobium.sp..BG8,-2.106740901,4.56E-09,1.28E-05
Salinicoccus.sp..Bachu38,-2.106740901,4.56E-09,1.28E-05
Porphyromonas.sp..oral.taxon.275,-2.106740901,4.56E-09,1.28E-05
Erythrobacter.sp..JK5,-2.106740901,4.56E-09,1.28E-05
Vibrio.parahaemolyticus,-2.106740901,4.56E-09,1.28E-05
Prevotella.sp..E15.22,-2.106740901,4.56E-09,1.28E-05
Prosthecochloris.sp..SCSIO.W1101,-2.106740901,4.56E-09,1.28E-05
Bacteroides.cellulosilyticus,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..XD.27,-2.106740901,4.56E-09,1.28E-05
Halomonas.sp..3H,-2.106740901,4.56E-09,1.28E-05
Thermosipho.ferrireducens,-2.106740901,4.56E-09,1.28E-05
Actinomyces.radicidentis,-2.106740901,4.56E-09,1.28E-05
Microvirga.lotononidis,-2.106740901,4.56E-09,1.28E-05
Mucilaginibacter.gossypii,-2.106740901,4.56E-09,1.28E-05
Collinsella.stercoris,-2.106740901,4.56E-09,1.28E-05
Polymorphum.gilvum,-2.106740901,4.56E-09,1.28E-05
Marivivens.sp..LCG002,-2.106740901,4.56E-09,1.28E-05
Hoylesella.buccalis,-2.106740901,4.56E-09,1.28E-05
Mucilaginibacter.ginkgonis,-2.106740901,4.56E-09,1.28E-05
Salinibaculum.sp..SYNS191,-2.106740901,4.56E-09,1.28E-05
Prevotella.fusca,-2.106740901,4.56E-09,1.28E-05
Thiocapsa.sp.,-2.106740901,4.56E-09,1.28E-05
Roseococcus.microcysteis,-2.106740901,4.56E-09,1.28E-05
Barnesiella.sp..An22,-2.106740901,4.56E-09,1.28E-05
Syntrophobacter.fumaroxidans,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..NBC_01197,-2.106740901,4.56E-09,1.28E-05
Achromobacter.seleniivolatilans,-2.106740901,4.56E-09,1.28E-05
Aliarcobacter.butzleri,-2.106740901,4.56E-09,1.28E-05
Dokdonia.sp..PRO95,-2.106740901,4.56E-09,1.28E-05
Alcaligenes.faecalis,-2.106740901,4.56E-09,1.28E-05
Neisseria.weaveri,-2.106740901,4.56E-09,1.28E-05
Prevotella.sp..E9.3,-2.106740901,4.56E-09,1.28E-05
Sorangium.cellulosum,-2.106740901,4.56E-09,1.28E-05
Ferrimonas.sp..SCSIO.43195,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.glyciniphilum,-2.106740901,4.56E-09,1.28E-05
Paracoccus.sp..TOH,-2.106740901,4.56E-09,1.28E-05
Prevotella.communis,-2.106740901,4.56E-09,1.28E-05
Oceanihabitans.sp..IOP_32,-2.106740901,4.56E-09,1.28E-05
Prevotella.sp..E2.28,-2.106740901,4.56E-09,1.28E-05
Porphyromonas.pogonae,-2.106740901,4.56E-09,1.28E-05
Rhodovastum.atsumiense,-2.106740901,4.56E-09,1.28E-05
Fimbriimonas.ginsengisoli,-2.106740901,4.56E-09,1.28E-05
Prevotella.herbatica,-2.106740901,4.56E-09,1.28E-05
Proteiniphilum.propionicum,-2.106740901,4.56E-09,1.28E-05
Planctomyces.sp..SH.PL14,-2.106740901,4.56E-09,1.28E-05
Microbulbifer.hydrolyticus,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..NBC_00259,-2.106740901,4.56E-09,1.28E-05
Flavobacterium.pallidum,-2.106740901,4.56E-09,1.28E-05
Sphingobacterium.sp..CZ.2,-2.106740901,4.56E-09,1.28E-05
Flavobacterium.johnsoniae,-2.106740901,4.56E-09,1.28E-05
Nonomuraea.phyllanthi,-2.106740901,4.56E-09,1.28E-05
Shewanella.psychromarinicola,-2.106740901,4.56E-09,1.28E-05
Aminithiophilus.ramosus,-2.106740901,4.56E-09,1.28E-05
Achromobacter.sp..MFA1.R4,-2.106740901,4.56E-09,1.28E-05
Microbacterium.atlanticum,-2.106740901,4.56E-09,1.28E-05
Maritalea.myrionectae,-2.106740901,4.56E-09,1.28E-05
Phaeobacter.piscinae,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..R14.2021.,-2.106740901,4.56E-09,1.28E-05
Prevotella.sp..E13.17,-2.106740901,4.56E-09,1.28E-05
Pulveribacter.suum,-2.106740901,4.56E-09,1.28E-05
Arthrobacter.zhangbolii,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sp..YIM.151500.1,-2.106740901,4.56E-09,1.28E-05
Mesobacillus.jeotgali,-2.106740901,4.56E-09,1.28E-05
Halosimplex.rubrum,-2.106740901,4.56E-09,1.28E-05
Mycolicibacterium.fortuitum,-2.106740901,4.56E-09,1.28E-05
Actinopolyspora.erythraea,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.aquatimens,-2.106740901,4.56E-09,1.28E-05
Mongoliitalea.daihaiensis,-2.106740901,4.56E-09,1.28E-05
Actinomadura.verrucosospora,-2.106740901,4.56E-09,1.28E-05
Schaalia.meyeri,-2.106740901,4.56E-09,1.28E-05
Photorhabdus.laumondii,-2.106740901,4.56E-09,1.28E-05
Prevotella.melaninogenica,-2.106740901,4.56E-09,1.28E-05
Bacteroides.caccae,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.agaridevorans,-2.106740901,4.56E-09,1.28E-05
Rathayibacter.tanaceti,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.wenzhouensis,-2.106740901,4.56E-09,1.28E-05
Brevibacillus.sp..HD3.3A,-2.106740901,4.56E-09,1.28E-05
Prevotella.denticola,-2.106740901,4.56E-09,1.28E-05
Aquipluma.nitroreducens,-2.106740901,4.56E-09,1.28E-05
Rubellicoccus.peritrichatus,-2.106740901,4.56E-09,1.28E-05
Georgenia.sp..M64,-2.106740901,4.56E-09,1.28E-05
Pantoea.agglomerans,-2.106740901,4.56E-09,1.28E-05
Pseudogulbenkiania.sp..NH8B,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.aerilatus,-2.106740901,4.56E-09,1.28E-05
Jannaschia.sp..CCS1,-2.106740901,4.56E-09,1.28E-05
Vibrio.navarrensis,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.flavescens,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..ITFR.21,-2.106740901,4.56E-09,1.28E-05
Maribacter.sp..BPC.D8,-2.106740901,4.56E-09,1.28E-05
Chryseobacterium.taklimakanense,-2.106740901,4.56E-09,1.28E-05
Lentibacter.algarum,-2.106740901,4.56E-09,1.28E-05
Spiribacter.curvatus,-2.106740901,4.56E-09,1.28E-05
Pseudonocardia.sp..HH130630.07,-2.106740901,4.56E-09,1.28E-05
Serratia.marcescens,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.tritici,-2.106740901,4.56E-09,1.28E-05
uncultured.Desulfobulbus.sp.,-2.106740901,4.56E-09,1.28E-05
Geitlerinema.sp..PCC.7407,-2.106740901,4.56E-09,1.28E-05
Pseudoduganella.plicata,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.nivis,-2.106740901,4.56E-09,1.28E-05
Phocaeicola.salanitronis,-2.106740901,4.56E-09,1.28E-05
Riemerella.columbina,-2.106740901,4.56E-09,1.28E-05
Allobaculum.sp..Allo2,-2.106740901,4.56E-09,1.28E-05
Photobacterium.atrarenae,-2.106740901,4.56E-09,1.28E-05
Salaquimonas.pukyongi,-2.106740901,4.56E-09,1.28E-05
unidentified.bacterial.endosymbiont,-2.106740901,4.56E-09,1.28E-05
Parabacteroides.sp..AD58,-2.106740901,4.56E-09,1.28E-05
Runella.sp..SP2,-2.106740901,4.56E-09,1.28E-05
Isoptericola.sp..AK164,-2.106740901,4.56E-09,1.28E-05
Thermoleophilum.album,-2.106740901,4.56E-09,1.28E-05
Sphingomonas.sp..7.4.4,-2.106740901,4.56E-09,1.28E-05
Sphingomonas.sp..C3.2,-2.106740901,4.56E-09,1.28E-05
Streptomyces.cavourensis,-2.106740901,4.56E-09,1.28E-05
Shewanella.alkalitolerans,-2.106740901,4.56E-09,1.28E-05
Duncaniella.sp..C9,-2.106740901,4.56E-09,1.28E-05
Haliscomenobacter.hydrossis,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.sp..St29,-2.106740901,4.56E-09,1.28E-05
Chitinophaga.oryzae,-2.106740901,4.56E-09,1.28E-05
Pseudooceanicola.spongiae,-2.106740901,4.56E-09,1.28E-05
Nocardioides.dongkuii,-2.106740901,4.56E-09,1.28E-05
Pollutimonas.thiosulfatoxidans,-2.106740901,4.56E-09,1.28E-05
Neomicrococcus.aestuarii,-2.106740901,4.56E-09,1.28E-05
Actinotalea.sp..JY.7876,-2.106740901,4.56E-09,1.28E-05
Bartonella.apihabitans,-2.106740901,4.56E-09,1.28E-05
Duffyella.gerundensis,-2.106740901,4.56E-09,1.28E-05
Spirosoma.rigui,-2.106740901,4.56E-09,1.28E-05
Desulfosediminicola.ganghwensis,-2.106740901,4.56E-09,1.28E-05
Janibacter.sp..CX7,-2.106740901,4.56E-09,1.28E-05
Burkholderia.thailandensis,-2.106740901,4.56E-09,1.28E-05
Persicobacter.psychrovividus,-2.106740901,4.56E-09,1.28E-05
Lactobacillus.panisapium,-2.106740901,4.56E-09,1.28E-05
Actinomyces.lilanjuaniae,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sp..PAMC.26628,-2.106740901,4.56E-09,1.28E-05
Porphyromonas.crevioricanis,-2.106740901,4.56E-09,1.28E-05
Ornithinimicrobium.ciconiae,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.vancouverensis,-2.106740901,4.56E-09,1.28E-05
Fusobacterium.polymorphum,-2.106740901,4.56E-09,1.28E-05
Runella.rosea,-2.106740901,4.56E-09,1.28E-05
Bordetella.genomosp..8,-2.106740901,4.56E-09,1.28E-05
Zobellia.laminariae,-2.106740901,4.56E-09,1.28E-05
Atopobium.sp..oral.taxon.416,-2.106740901,4.56E-09,1.28E-05
Syntrophotalea.acetylenica,-2.106740901,4.56E-09,1.28E-05
Microbulbifer.sp..SH.1,-2.106740901,4.56E-09,1.28E-05
Agrobacterium.vitis,-2.106740901,4.56E-09,1.28E-05
Labilibaculum.manganireducens,-2.106740901,4.56E-09,1.28E-05
Tautonia.plasticadhaerens,-2.106740901,4.56E-09,1.28E-05
Collinsella.aerofaciens,-2.106740901,4.56E-09,1.28E-05
Bradymonas.sediminis,-2.106740901,4.56E-09,1.28E-05
Haloferula.helveola,-2.106740901,4.56E-09,1.28E-05
Spiroplasma.endosymbiont.of.Polydrusus.cervinus,-2.106740901,4.56E-09,1.28E-05
Oleiphilus.messinensis,-2.106740901,4.56E-09,1.28E-05
Phocaeicola.coprophilus,-2.106740901,4.56E-09,1.28E-05
Amycolatopsis.sp..NBC_00348,-2.106740901,4.56E-09,1.28E-05
Stenotrophomonas.oahuensis,-2.106740901,4.56E-09,1.28E-05
Micromonospora.sp..WMMD712,-2.106740901,4.56E-09,1.28E-05
Myxococcus.xanthus,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.kefirresidentii,-2.106740901,4.56E-09,1.28E-05
Arthrobacter.agilis,-2.106740901,4.56E-09,1.28E-05
Microbacterium.fandaimingii,-2.106740901,4.56E-09,1.28E-05
Bacillus.tequilensis,-2.106740901,4.56E-09,1.28E-05
Massilia.sp..W12,-2.106740901,4.56E-09,1.28E-05
Pseudobacter.ginsenosidimutans,-2.106740901,4.56E-09,1.28E-05
Flavobacterium.aquiphilum,-2.106740901,4.56E-09,1.28E-05
Palaeococcus.pacificus,-2.106740901,4.56E-09,1.28E-05
Prevotella.intermedia,-2.106740901,4.56E-09,1.28E-05
Propioniciclava.coleopterorum,-2.106740901,4.56E-09,1.28E-05
Nocardioides.piscis,-2.106740901,4.56E-09,1.28E-05
Aquibium.microcysteis,-2.106740901,4.56E-09,1.28E-05
Lysinibacillus.agricola,-2.106740901,4.56E-09,1.28E-05
Gordonia.bronchialis,-2.106740901,4.56E-09,1.28E-05
Thermogutta.terrifontis,-2.106740901,4.56E-09,1.28E-05
Teredinibacter.sp..KSP.S5.2,-2.106740901,4.56E-09,1.28E-05
Aquabacterium.sp..OR.4,-2.106740901,4.56E-09,1.28E-05
Serratia.proteamaculans,-2.106740901,4.56E-09,1.28E-05
Saccharopolyspora.rosea,-2.106740901,4.56E-09,1.28E-05
Brevibacillus.humidisoli,-2.106740901,4.56E-09,1.28E-05
Hankyongella.ginsenosidimutans,-2.106740901,4.56E-09,1.28E-05
Ruminococcus.bovis,-2.106740901,4.56E-09,1.28E-05
Shewanella.algae,-2.106740901,4.56E-09,1.28E-05
Denitrificimonas.caeni,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..MRC013,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sp..NBH84,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.fulva,-2.106740901,4.56E-09,1.28E-05
Sphingomonas.aerolata,-2.106740901,4.56E-09,1.28E-05
Spirosoma.endbachense,-2.106740901,4.56E-09,1.28E-05
Parabacteroides.distasonis,-2.106740901,4.56E-09,1.28E-05
Sodaliphilus.pleomorphus,-2.106740901,4.56E-09,1.28E-05
Marichromatium.purpuratum,-2.106740901,4.56E-09,1.28E-05
Salinivibrio.kushneri,-2.106740901,4.56E-09,1.28E-05
Erwinia.billingiae,-2.106740901,4.56E-09,1.28E-05
Niabella.yanshanensis,-2.106740901,4.56E-09,1.28E-05
Cellulomonas.sp..C5510,-2.106740901,4.56E-09,1.28E-05
Kitasatospora.sp..NBC_01266,-2.106740901,4.56E-09,1.28E-05
Paraprevotella.xylaniphila,-2.106740901,4.56E-09,1.28E-05
Arthrobacter.sp..FW306.2.2C.D06B,-2.106740901,4.56E-09,1.28E-05
Pseudooceanicola.nitratireducens,-2.106740901,4.56E-09,1.28E-05
Chryseobacterium.sp..G0201,-2.106740901,4.56E-09,1.28E-05
Aureibacter.tunicatorum,-2.106740901,4.56E-09,1.28E-05
Flagellimonas.oceani,-2.106740901,4.56E-09,1.28E-05
Constantimarinum.furrinae,-2.106740901,4.56E-09,1.28E-05
Kaistella.daneshvariae,-2.106740901,4.56E-09,1.28E-05
Algoriphagus.sanaruensis,-2.106740901,4.56E-09,1.28E-05
Thermobifida.alba,-2.106740901,4.56E-09,1.28E-05
Oceanimonas.sp..GK1,-2.106740901,4.56E-09,1.28E-05
Glutamicibacter.sp..M10,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..WAC.06738,-2.106740901,4.56E-09,1.28E-05
Variovorax.sp..HW608,-2.106740901,4.56E-09,1.28E-05
Anaeromyxobacter.oryzae,-2.106740901,4.56E-09,1.28E-05
Flavobacterium.dauae,-2.106740901,4.56E-09,1.28E-05
Mucilaginibacter.rubeus,-2.106740901,4.56E-09,1.28E-05
Pseudemcibacter.aquimaris,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.volaticus,-2.106740901,4.56E-09,1.28E-05
Aquibium.oceanicum,-2.106740901,4.56E-09,1.28E-05
Porphyromonas.cangingivalis,-2.106740901,4.56E-09,1.28E-05
Parasphingopyxis.sp..CP4,-2.106740901,4.56E-09,1.28E-05
Halapricum.desulfuricans,-2.106740901,4.56E-09,1.28E-05
Salinimicrobium.sp..3283s,-2.106740901,4.56E-09,1.28E-05
Microbacterium.sp..Clip185,-2.106740901,4.56E-09,1.28E-05
Maribellus.comscasis,-2.106740901,4.56E-09,1.28E-05
Dyadobacter.sp..NIV53,-2.106740901,4.56E-09,1.28E-05
Arsenicicoccus.sp..oral.taxon.190,-2.106740901,4.56E-09,1.28E-05
Mycolicibacter.sp..MU0083,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..OUCMDZ.3434,-2.106740901,4.56E-09,1.28E-05
Dermatophilus.congolensis,-2.106740901,4.56E-09,1.28E-05
Acuticoccus.sp..I52.16.1,-2.106740901,4.56E-09,1.28E-05
Rhodococcus.sp..Z13,-2.106740901,4.56E-09,1.28E-05
Bacillus.methanolicus,-2.106740901,4.56E-09,1.28E-05
Sinomicrobium.kalidii,-2.106740901,4.56E-09,1.28E-05
Thiorhodovibrio.winogradskyi,-2.106740901,4.56E-09,1.28E-05
Brevundimonas.sp..NIBR10,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..SN.593,-2.106740901,4.56E-09,1.28E-05
Salinivirga.cyanobacteriivorans,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.radiodurans,-2.106740901,4.56E-09,1.28E-05
Aeromicrobium.wangtongii,-2.106740901,4.56E-09,1.28E-05
Lentzea.sp..DG1S.22,-2.106740901,4.56E-09,1.28E-05
Kaustia.mangrovi,-2.106740901,4.56E-09,1.28E-05
Thalassospira.indica,-2.106740901,4.56E-09,1.28E-05
Saccharomonospora.marina,-2.106740901,4.56E-09,1.28E-05
Candidatus.Protofrankia.datiscae,-2.106740901,4.56E-09,1.28E-05
Magnetospirillum.gryphiswaldense,-2.106740901,4.56E-09,1.28E-05
Tepidiforma.flava,-2.106740901,4.56E-09,1.28E-05
Botrimarina.mediterranea,-2.106740901,4.56E-09,1.28E-05
Pantoea.rwandensis,-2.106740901,4.56E-09,1.28E-05
Halobaculum.sp..DT92,-2.106740901,4.56E-09,1.28E-05
Streptomyces.koyangensis,-2.106740901,4.56E-09,1.28E-05
Kribbella.sp..NBC_01245,-2.106740901,4.56E-09,1.28E-05
Saccharothrix.sp..6.C,-2.106740901,4.56E-09,1.28E-05
uncultured.Anaeromusa.sp.,-2.106740901,4.56E-09,1.28E-05
Agrobacterium.fabrum,-2.106740901,4.56E-09,1.28E-05
Alloactinosynnema.sp..L.07,-2.106740901,4.56E-09,1.28E-05
Stieleria.neptunia,-2.106740901,4.56E-09,1.28E-05
Fusobacterium.nucleatum,-2.106740901,4.56E-09,1.28E-05
Mycolicibacterium.psychrotolerans,-2.106740901,4.56E-09,1.28E-05
Mucilaginibacter.daejeonensis,-2.106740901,4.56E-09,1.28E-05
Propionibacterium.australiense,-2.106740901,4.56E-09,1.28E-05
Clavibacter.michiganensis,-2.106740901,4.56E-09,1.28E-05
Erysipelatoclostridium.sp..An173,-2.106740901,4.56E-09,1.28E-05
Mycolicibacterium.baixiangningiae,-2.106740901,4.56E-09,1.28E-05
Rhodococcus.aetherivorans,-2.106740901,4.56E-09,1.28E-05
Methylocella.tundrae,-2.106740901,4.56E-09,1.28E-05
Paracidovorax.citrulli,-2.106740901,4.56E-09,1.28E-05
Bradyrhizobium.arachidis,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.guangdongense,-2.106740901,4.56E-09,1.28E-05
Euzebya.pacifica,-2.106740901,4.56E-09,1.28E-05
Azospira.restricta,-2.106740901,4.56E-09,1.28E-05
Thiohalobacter.sp..IOR34,-2.106740901,4.56E-09,1.28E-05
Bacteroides.thetaiotaomicron,-2.106740901,4.56E-09,1.28E-05
Capnocytophaga.gingivalis,-2.106740901,4.56E-09,1.28E-05
Sphingobacterium.multivorum,-2.106740901,4.56E-09,1.28E-05
Microbacterium.sp..LWO13.1.2,-2.106740901,4.56E-09,1.28E-05
Mariniblastus.fucicola,-2.106740901,4.56E-09,1.28E-05
Oceanidesulfovibrio.marinus,-2.106740901,4.56E-09,1.28E-05
Egicoccus.halophilus,-2.106740901,4.56E-09,1.28E-05
Helicobacter.pylori,-2.106740901,4.56E-09,1.28E-05
Mycolicibacterium.madagascariense,-2.106740901,4.56E-09,1.28E-05
Lysobacter.sp..K5869,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.qilianensis,-2.106740901,4.56E-09,1.28E-05
Nocardioides.sambongensis,-2.106740901,4.56E-09,1.28E-05
Pontibacter.pudoricolor,-2.106740901,4.56E-09,1.28E-05
Aurantimicrobium.photophilum,-2.106740901,4.56E-09,1.28E-05
Comamonas.terrigena,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sp..APR13,-2.106740901,4.56E-09,1.28E-05
Piscinibacter.gummiphilus,-2.106740901,4.56E-09,1.28E-05
Nonlabens.ulvanivorans,-2.106740901,4.56E-09,1.28E-05
Saccharopolyspora.gregorii,-2.106740901,4.56E-09,1.28E-05
Bacteroides.zhangwenhongii,-2.106740901,4.56E-09,1.28E-05
uncultured.Bacteroides.sp.,-2.106740901,4.56E-09,1.28E-05
Turicibacter.bilis,-2.106740901,4.56E-09,1.28E-05
Achromobacter.spanius,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.sp..B11D7D,-2.106740901,4.56E-09,1.28E-05
Sulfuriflexus.mobilis,-2.106740901,4.56E-09,1.28E-05
Amycolatopsis.sp..YIM.10,-2.106740901,4.56E-09,1.28E-05
Bradyrhizobium.sp..CCBAU.53340,-2.106740901,4.56E-09,1.28E-05
Limnochorda.pilosa,-2.106740901,4.56E-09,1.28E-05
Mucilaginibacter.ginsenosidivorans,-2.106740901,4.56E-09,1.28E-05
Phocaeicola.dorei,-2.106740901,4.56E-09,1.28E-05
Aeromonas.bestiarum,-2.106740901,4.56E-09,1.28E-05
Sphaerobacter.thermophilus,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sp..DG01,-2.106740901,4.56E-09,1.28E-05
Cytophaga.hutchinsonii,-2.106740901,4.56E-09,1.28E-05
Rubinisphaera.brasiliensis,-2.106740901,4.56E-09,1.28E-05
Turicibacter.sp..TJ11,-2.106740901,4.56E-09,1.28E-05
Microbacterium.sp..YJN.G,-2.106740901,4.56E-09,1.28E-05
Streptomyces.antibioticus,-2.106740901,4.56E-09,1.28E-05
Jatrophihabitans.sp..GAS493,-2.106740901,4.56E-09,1.28E-05
Caldinitratiruptor.microaerophilus,-2.106740901,4.56E-09,1.28E-05
Prochlorococcus.marinus,-2.106740901,4.56E-09,1.28E-05
Megamonas.funiformis,-2.106740901,4.56E-09,1.28E-05
Limnospira.indica,-2.106740901,4.56E-09,1.28E-05
Elioraea.tepida,-2.106740901,4.56E-09,1.28E-05
Pannonibacter.phragmitetus,-2.106740901,4.56E-09,1.28E-05
